t;ref;u_ml;omega_ml;u_mr;omega_mr
0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0.0100;0.0000;0.0000;0.0000;0.0000;0.0000
0.0200;0.0000;0.0000;0.0000;0.0000;0.0000
0.0300;0.0000;0.0000;0.0000;0.0000;0.0000
0.0400;0.0000;0.0000;0.0000;0.0000;0.0000
0.0500;0.0000;0.0000;0.0000;0.0000;0.0000
0.0600;0.0000;0.0000;0.0000;0.0000;0.0000
0.0700;0.0000;0.0000;0.0000;0.0000;0.0000
0.0800;0.0000;0.0000;0.0000;0.0000;0.0000
0.0900;0.0000;0.0000;0.0000;0.0000;0.0000
0.1000;0.0000;0.0000;0.0000;0.0000;0.0000
0.1101;0.0000;0.0000;0.0000;0.0000;0.0000
0.1201;0.0000;0.0000;0.0000;0.0000;0.0000
0.1301;0.0000;0.0000;0.0000;0.0000;0.0000
0.1401;0.0000;0.0000;0.0000;0.0000;0.0000
0.1501;0.0000;0.0000;0.0000;0.0000;0.0000
0.1601;0.0000;0.0000;0.0000;0.0000;0.0000
0.1701;0.0000;0.0000;0.0000;0.0000;0.0000
0.1801;0.0000;0.0000;0.0000;0.0000;0.0000
0.1901;0.0000;0.0000;0.0000;0.0000;0.0000
0.2001;0.0000;0.0000;0.0000;0.0000;0.0000
0.2101;0.0000;0.0000;0.0000;0.0000;0.0000
0.2201;0.0000;0.0000;0.0000;0.0000;0.0000
0.2301;0.0000;0.0000;0.0000;0.0000;0.0000
0.2401;0.0000;0.0000;0.0000;0.0000;0.0000
0.2501;0.0000;0.0000;0.0000;0.0000;0.0000
0.2601;0.0000;0.0000;0.0000;0.0000;0.0000
0.2701;0.0000;0.0000;0.0000;0.0000;0.0000
0.2801;0.0000;0.0000;0.0000;0.0000;0.0000
0.2901;0.0000;0.0000;0.0000;0.0000;0.0000
0.3001;0.0000;0.0000;0.0000;0.0000;0.0000
0.3101;0.0000;0.0000;0.0000;0.0000;0.0000
0.3201;0.0000;0.0000;0.0000;0.0000;0.0000
0.3302;0.0000;0.0000;0.0000;0.0000;0.0000
0.3402;0.0000;0.0000;0.0000;0.0000;0.0000
0.3502;0.0000;0.0000;0.0000;0.0000;0.0000
0.3602;0.0000;0.0000;0.0000;0.0000;0.0000
0.3702;0.0000;0.0000;0.0000;0.0000;0.0000
0.3802;0.0000;0.0000;0.0000;0.0000;0.0000
0.3902;0.0000;0.0000;0.0000;0.0000;0.0000
0.4002;0.0000;0.0000;0.0000;0.0000;0.0000
0.4102;0.0000;0.0000;0.0000;0.0000;0.0000
0.4202;0.0000;0.0000;0.0000;0.0000;0.0000
0.4302;0.0000;0.0000;0.0000;0.0000;0.0000
