t;u_ml;theta_ml;u_mr;theta_mr
0.0001;100.0000;0.0000;100.0000;0.0000
0.0101;100.0000;0.0224;100.0000;0.0150
0.0201;100.0000;0.1346;100.0000;0.1197
0.0301;100.0000;0.3291;100.0000;0.3142
0.0401;100.0000;0.6059;100.0000;0.5760
0.0501;100.0000;0.9275;100.0000;0.8901
0.0601;100.0000;1.3015;100.0000;1.2566
0.0701;100.0000;1.7129;100.0000;1.6606
0.0801;100.0000;2.1468;100.0000;2.0869
0.0901;100.0000;2.6105;100.0000;2.5357
0.1001;100.0000;3.0892;100.0000;3.0070
0.1101;100.0000;3.5904;100.0000;3.5006
0.1201;100.0000;4.1065;100.0000;3.9943
0.1301;100.0000;4.6301;100.0000;4.5104
0.1401;100.0000;5.1612;100.0000;5.0265
0.1501;100.0000;5.6997;100.0000;5.5501
0.1601;100.0000;6.2458;100.0000;6.0887
0.1701;100.0000;6.7918;100.0000;6.6273
0.1801;100.0000;7.3528;100.0000;7.1658
0.1901;100.0000;7.9063;100.0000;7.7044
0.2001;100.0000;8.4673;100.0000;8.2504
0.2101;100.0000;9.0283;100.0000;8.7965
0.2201;100.0000;9.5968;100.0000;9.3425
0.2301;100.0000;10.1653;100.0000;9.8885
0.2401;100.0000;10.7263;100.0000;10.4421
0.2501;100.0000;11.2948;100.0000;10.9956
0.2601;100.0000;11.8633;100.0000;11.5416
0.2701;100.0000;12.4317;100.0000;12.0951
0.2801;100.0000;13.0002;100.0000;12.6487
0.2901;100.0000;13.5687;100.0000;13.2022
0.3001;100.0000;14.1372;100.0000;13.7482
0.3101;100.0000;14.7056;100.0000;14.3017
0.3201;100.0000;15.2741;100.0000;14.8478
0.3301;100.0000;15.8426;100.0000;15.4013
0.3401;100.0000;16.4186;100.0000;15.9548
0.3501;100.0000;16.9870;100.0000;16.5083
0.3601;100.0000;17.5555;100.0000;17.0618
0.3701;100.0000;18.1240;100.0000;17.6154
0.3802;100.0000;18.6925;100.0000;18.1689
0.3902;100.0000;19.2610;100.0000;18.7149
0.4002;-100.0000;19.8294;-100.0000;19.2684
0.4102;-100.0000;20.2782;-100.0000;19.7023
0.4202;-100.0000;20.5326;-100.0000;19.9416
0.4302;-100.0000;20.6074;-100.0000;20.0090
0.4402;-100.0000;20.5400;-100.0000;19.9566
0.4502;-100.0000;20.3830;-100.0000;19.8070
0.4602;-100.0000;20.1436;-100.0000;19.5826
0.4702;-100.0000;19.8444;-100.0000;19.2984
0.4802;-100.0000;19.4928;-100.0000;18.9692
0.4902;-100.0000;19.1039;-100.0000;18.5878
0.5002;-100.0000;18.6775;-100.0000;18.1764
0.5102;-100.0000;18.2287;-100.0000;17.7425
0.5202;-100.0000;17.7575;-100.0000;17.2862
0.5302;-100.0000;17.2713;-100.0000;16.8150
0.5402;-100.0000;16.7626;-100.0000;16.3213
0.5502;-100.0000;16.2540;-100.0000;15.8202
0.5602;-100.0000;15.7229;-100.0000;15.3115
0.5702;-100.0000;15.1918;-100.0000;14.7954
0.5802;-100.0000;14.6533;-100.0000;14.2643
0.5902;-100.0000;14.1072;-100.0000;13.7332
0.6002;-100.0000;13.5612;-100.0000;13.2022
0.6102;-100.0000;13.0077;-100.0000;12.6636
0.6202;-100.0000;12.4542;-100.0000;12.1251
0.6302;-100.0000;11.9007;-100.0000;11.5790
0.6402;-100.0000;11.3397;-100.0000;11.0330
0.6502;-100.0000;10.7787;-100.0000;10.4869
0.6602;-100.0000;10.2102;-100.0000;9.9334
0.6702;-100.0000;9.6492;-100.0000;9.3799
0.6802;-100.0000;9.0882;-100.0000;8.8264
0.6902;-100.0000;8.5197;-100.0000;8.2729
0.7002;-100.0000;7.9512;-100.0000;7.7119
0.7102;-100.0000;7.3827;-100.0000;7.1583
0.7202;-100.0000;6.8217;-100.0000;6.5973
0.7302;-100.0000;6.2533;-100.0000;6.0438
0.7402;-100.0000;5.6848;-100.0000;5.4828
0.7502;-100.0000;5.1163;-100.0000;4.9218
0.7602;-100.0000;4.5478;-100.0000;4.3683
0.7702;-100.0000;3.9794;-100.0000;3.8073
0.7802;-100.0000;3.4109;-100.0000;3.2463
0.7902;-100.0000;2.8424;-100.0000;2.6928
