t;u;yr;yl;freq;dtheta
0.0034;0;111;35;0.5000;0.0407
0.0128;2;111;35;0.5001;0.0708
0.0238;3;111;35;0.5001;0.1395
0.0338;5;111;35;0.5001;0.1502
0.0438;6;111;35;0.5002;0.3367
0.0538;8;111;35;0.5002;0.3039
0.0638;9;110;35;0.5003;0.3053
0.0738;11;110;34;0.5003;0.2632
0.0838;13;110;34;0.5003;0.2696
0.0938;14;110;34;0.5004;0.2509
0.1039;16;109;34;0.5004;0.1667
0.1138;17;109;34;0.5005;0.0670
0.1238;18;109;34;0.5005;0.0828
0.1348;20;108;34;0.5005;0.0737
0.1448;21;107;34;0.5006;0.0862
0.1555;23;107;34;0.5006;-0.0537
0.1648;24;107;34;0.5007;0.0572
0.1749;26;107;34;0.5007;-0.2844
0.1859;27;107;34;0.5007;-0.1685
0.1957;28;106;34;0.5008;-0.2098
0.2059;30;105;35;0.5008;-0.4129
0.2158;31;105;35;0.5009;-0.2410
0.2260;32;105;35;0.5009;-0.2756
0.2368;33;104;36;0.5010;-0.4635
0.2468;35;103;36;0.5010;-0.4925
0.2578;36;103;36;0.5010;-0.5072
0.2678;37;103;36;0.5011;-0.5405
0.2779;38;103;37;0.5011;-0.6132
0.2879;39;103;37;0.5012;-0.6838
0.2979;40;102;38;0.5012;-0.7489
0.3079;41;101;39;0.5012;-0.9290
0.3179;42;100;39;0.5013;-0.8008
0.3279;42;99;40;0.5013;-0.7878
0.3379;43;98;41;0.5014;-0.8317
0.3479;44;97;42;0.5014;-0.8046
0.3579;45;97;43;0.5014;-0.7750
0.3679;45;96;44;0.5015;-0.7161
0.3779;46;95;44;0.5015;-0.7014
0.3879;46;95;45;0.5016;-0.6713
0.3979;47;95;46;0.5016;-0.6569
0.4079;47;94;46;0.5016;-0.6468
0.4179;48;94;47;0.5017;-0.6575
0.4279;48;93;47;0.5017;-0.6663
0.4379;49;93;48;0.5018;-0.6724
0.4479;49;93;48;0.5018;-0.6561
0.4579;49;92;49;0.5019;-0.5845
0.4679;49;92;50;0.5019;-0.5487
0.4779;49;91;51;0.5019;-0.5133
0.4879;49;91;51;0.5020;-0.3934
0.4979;49;91;52;0.5020;-0.3553
0.5079;49;91;52;0.5021;-0.3073
0.5179;49;91;52;0.5021;-0.2796
0.5279;49;91;52;0.5021;-0.2881
0.5379;49;90;52;0.5022;-0.2844
0.5479;49;89;52;0.5022;-0.2503
0.5579;49;89;53;0.5023;-0.2119
0.5679;48;89;53;0.5023;-0.2159
0.5779;48;88;53;0.5023;-0.1957
0.5879;48;88;53;0.5024;-0.1536
0.5979;47;88;53;0.5024;-0.1525
0.6079;47;88;53;0.5025;-0.1312
0.6179;46;88;53;0.5025;-0.1555
0.6279;45;88;53;0.5025;-0.1512
0.6379;45;88;53;0.5026;-0.1637
0.6479;44;88;53;0.5026;-0.1645
0.6579;43;88;53;0.5027;-0.1656
0.6679;43;88;53;0.5027;-0.1485
0.6779;42;88;53;0.5027;-0.1600
0.6879;41;88;53;0.5028;-0.1605
0.6979;40;88;53;0.5028;-0.1733
0.7079;39;88;53;0.5029;-0.1629
0.7179;38;88;53;0.5029;-0.1315
0.7279;37;88;53;0.5029;-0.1384
0.7379;36;88;53;0.5030;-0.1181
0.7479;35;89;53;0.5030;-0.0883
0.7579;34;89;53;0.5031;-0.1123
0.7679;33;89;53;0.5031;-0.1187
0.7779;31;89;53;0.5032;-0.1088
0.7879;30;89;53;0.5032;-0.0688
0.7979;29;89;53;0.5032;-0.0590
0.8079;28;90;53;0.5033;-0.0523
0.8179;26;90;53;0.5033;-0.0097
0.8279;25;91;53;0.5034;0.0476
0.8379;23;91;53;0.5034;0.0790
0.8479;22;91;53;0.5034;0.1049
0.8579;21;92;53;0.5035;0.0567
0.8679;19;93;53;0.5035;0.0964
0.8779;18;94;53;0.5036;0.0156
0.8879;16;94;53;0.5036;0.0588
0.8979;15;95;53;0.5036;0.0780
0.9079;13;95;53;0.5037;0.1297
0.9179;12;96;52;0.5037;0.1267
0.9279;10;96;52;0.5038;0.1827
0.9379;9;97;52;0.5038;0.2312
0.9479;7;97;52;0.5038;0.2906
0.9579;6;97;51;0.5039;0.3268
0.9679;4;98;51;0.5039;0.3423
0.9779;2;99;50;0.5040;0.3759
0.9879;1;99;50;0.5040;0.3972
0.9979;0;99;50;0.5041;0.4422
1.0079;-1;101;49;0.5041;0.5398
1.0179;-3;101;48;0.5041;0.4492
1.0279;-5;102;48;0.5042;0.5176
1.0379;-6;103;46;0.5042;0.5941
1.0479;-8;103;46;0.5043;0.5581
1.0579;-9;104;46;0.5043;0.5267
1.0679;-11;105;45;0.5043;0.5928
1.0779;-12;107;44;0.5044;0.6314
1.0879;-14;109;42;0.5044;0.6311
1.0979;-15;113;39;0.5045;0.6397
1.1079;-17;117;35;0.5045;0.9362
1.1179;-18;117;33;0.5045;0.7812
1.1279;-20;118;33;0.5046;0.9365
1.1379;-21;120;31;0.5046;1.1742
1.1479;-23;122;30;0.5047;1.0764
1.1579;-24;123;29;0.5047;1.1132
1.1679;-25;124;27;0.5047;1.0916
1.1779;-27;126;26;0.5048;1.1976
1.1879;-28;127;24;0.5048;1.1750
1.1979;-29;129;23;0.5049;1.2824
1.2079;-31;130;21;0.5049;1.2227
1.2179;-32;131;20;0.5050;1.2272
1.2279;-33;132;18;0.5050;1.1846
1.2379;-34;134;17;0.5050;1.1444
1.2479;-35;135;16;0.5051;1.0607
1.2579;-36;136;15;0.5051;1.0135
1.2679;-37;137;14;0.5052;1.0402
1.2779;-38;138;12;0.5052;0.9949
1.2879;-39;139;11;0.5052;0.9557
1.2979;-40;141;10;0.5053;0.9759
1.3079;-41;142;9;0.5053;0.8443
1.3179;-42;143;9;0.5054;0.8981
1.3279;-43;144;8;0.5054;0.7527
1.3379;-44;145;7;0.5054;0.6948
1.3479;-44;146;7;0.5055;0.5858
1.3579;-45;147;6;0.5055;0.5704
1.3679;-46;147;5;0.5056;0.5038
1.3779;-46;147;5;0.5056;0.4345
1.3879;-47;148;4;0.5057;0.3983
1.3979;-47;148;4;0.5057;0.3612
1.4079;-48;148;4;0.5057;0.3181
1.4179;-48;149;4;0.5058;0.2893
1.4279;-48;149;4;0.5058;0.2453
1.4379;-49;149;4;0.5059;0.2275
1.4479;-49;149;4;0.5059;0.2152
1.4579;-49;149;3;0.5059;0.2168
1.4679;-49;150;3;0.5060;0.1918
1.4779;-49;150;3;0.5060;0.2024
1.4879;-49;150;3;0.5061;0.2083
1.4979;-49;150;3;0.5061;0.1552
1.5079;-49;150;3;0.5061;0.0996
1.5179;-49;150;3;0.5062;0.1278
1.5279;-49;150;3;0.5062;0.1286
1.5379;-49;150;3;0.5063;0.1512
1.5479;-49;150;3;0.5063;0.1894
1.5579;-48;150;3;0.5064;0.1987
1.5679;-48;151;3;0.5064;0.2021
1.5779;-48;151;3;0.5064;0.2237
1.5879;-47;151;3;0.5065;0.2275
1.5979;-47;151;3;0.5065;0.1981
1.6079;-46;151;3;0.5066;0.2123
1.6179;-45;151;3;0.5066;0.2011
1.6279;-45;151;3;0.5066;0.2219
1.6379;-44;151;3;0.5067;0.2339
1.6479;-43;151;3;0.5067;0.2165
1.6579;-43;152;3;0.5068;0.2147
1.6679;-42;152;3;0.5068;0.1947
1.6779;-41;152;3;0.5069;0.2261
1.6879;-40;152;3;0.5069;0.2131
1.6979;-39;152;3;0.5069;0.1920
1.7079;-38;152;3;0.5070;0.1768
1.7182;-37;151;3;0.5070;-0.1933
1.7278;-36;151;3;0.5071;0.0511
1.7379;-35;151;3;0.5071;0.1672
1.7479;-34;151;3;0.5071;0.1387
1.7579;-33;151;2;0.5072;0.0841
1.7679;-31;151;2;0.5072;0.0311
1.7779;-30;151;2;0.5073;-0.0353
1.7879;-29;151;2;0.5073;-0.0720
1.7979;-27;151;3;0.5073;-0.0947
1.8079;-26;151;3;0.5074;-0.1075
1.8179;-25;150;3;0.5074;-0.1184
1.8279;-23;149;4;0.5075;-0.1259
1.8379;-22;149;4;0.5075;-0.1293
1.8479;-21;149;4;0.5076;-0.1291
1.8579;-19;148;5;0.5076;-0.1056
1.8679;-18;147;5;0.5076;-0.0763
1.8779;-16;147;5;0.5077;-0.0454
1.8879;-15;147;5;0.5077;-0.0798
1.8979;-13;147;5;0.5078;-0.1112
1.9079;-12;146;5;0.5078;-0.1701
1.9179;-10;145;5;0.5078;-0.2642
