t;u;yr;yl;freq;dtheta
0.0050;0;0;0;0.1000;-0.0345
0.0147;0;0;0;0.1000;-0.0150
0.0247;0;0;0;0.1000;0.0271
0.0347;1;0;0;0.1001;0.0489
0.0446;1;0;0;0.1001;0.0337
0.0547;1;0;0;0.1001;0.0292
0.0647;2;0;0;0.1001;0.0231
0.0746;2;0;0;0.1001;0.0095
0.0847;2;0;0;0.1001;0.0244
0.0947;2;0;0;0.1002;0.0172
0.1047;3;0;0;0.1002;0.0031
0.1147;3;0;0;0.1002;0.0108
0.1247;3;0;0;0.1002;-0.0057
0.1347;4;0;0;0.1002;-0.0188
0.1447;4;-1;0;0.1002;-0.0241
0.1547;4;-1;0;0.1003;-0.0228
0.1647;5;-1;0;0.1003;-0.0137
0.1747;5;-1;0;0.1003;-0.0121
0.1847;5;-1;0;0.1003;-0.0241
0.1947;6;-1;0;0.1003;-0.0262
0.2047;6;-1;0;0.1003;0.0108
0.2147;6;-1;0;0.1004;0.0103
0.2247;7;-1;0;0.1004;0.0156
0.2347;7;-1;0;0.1004;-0.0076
0.2457;7;-1;0;0.1004;-0.0233
0.2556;8;-1;0;0.1004;-0.0355
0.2656;8;-1;0;0.1004;-0.0190
0.2757;8;-1;0;0.1005;0.0066
0.2857;8;-1;0;0.1005;0.0095
0.2957;9;-2;0;0.1005;0.0231
0.3057;9;-2;0;0.1005;0.0337
0.3157;9;-2;0;0.1005;0.0252
0.3257;10;-2;1;0.1005;0.0090
0.3357;10;-2;1;0.1006;-0.0036
0.3457;10;-2;1;0.1006;-0.0174
0.3557;11;-2;1;0.1006;-0.0102
0.3657;11;-2;1;0.1006;-0.0012
0.3757;11;-4;1;0.1006;0.0180
0.3857;12;-6;1;0.1006;-0.0190
0.3957;12;-8;1;0.1007;0.0178
0.4057;12;-11;1;0.1007;0.0519
0.4157;12;-14;1;0.1007;0.0199
0.4257;13;-19;1;0.1007;0.0199
0.4357;13;-23;1;0.1007;0.0881
0.4457;13;-29;2;0.1007;0.0071
0.4557;14;-35;2;0.1008;-0.0784
0.4657;14;-42;3;0.1008;0.0487
0.4757;14;-50;4;0.1008;-0.0489
0.4857;15;-59;7;0.1008;0.0417
0.4957;15;-68;10;0.1008;0.1105
0.5057;15;-78;14;0.1008;0.0567
0.5157;15;-90;20;0.1009;0.1491
0.5257;16;-102;25;0.1009;0.1350
0.5357;16;-114;32;0.1009;0.0902
0.5457;16;-128;40;0.1009;-0.0214
0.5557;17;-142;48;0.1009;0.0042
0.5657;17;-157;57;0.1009;-0.0278
0.5757;17;-172;67;0.1010;0.0654
0.5857;18;-189;77;0.1010;0.1406
0.5957;18;-206;89;0.1010;0.0343
0.6057;18;-224;101;0.1010;0.0801
0.6157;18;-242;114;0.1010;0.0201
0.6257;19;-261;128;0.1010;0.0167
0.6357;19;-280;143;0.1011;0.0748
0.6457;19;-301;158;0.1011;-0.0595
0.6557;20;-322;174;0.1011;0.0233
0.6657;20;-343;192;0.1011;0.0561
0.6757;20;-366;210;0.1011;0.1155
0.6857;20;-388;228;0.1012;0.0297
0.6957;21;-412;248;0.1012;0.0079
0.7057;21;-436;268;0.1012;0.0953
0.7157;21;-461;289;0.1012;0.0204
0.7257;22;-487;311;0.1012;-0.0049
0.7357;22;-513;334;0.1012;0.0460
0.7457;22;-540;357;0.1013;-0.0166
0.7557;22;-567;381;0.1013;-0.0673
0.7657;23;-595;406;0.1013;0.0215
0.7757;23;-624;432;0.1013;0.0439
0.7857;23;-653;458;0.1013;0.0612
0.7957;24;-683;485;0.1013;0.0846
